Branch,Last Name,First Name,MI,Suffix,Gender,BIRTHDAY,Date Hired,Branch Deployed,Brand Handled,EMPLOYMENT STATUS,SUB STATUS,AGENCY,FROM,TO
GALLERIA,RAGO, ALVIN,,,MALE,4/1/1999,7/16/2018,CARRIER  PROMODISER,CARRIER,PERMANENT,STATIONARY,Concepcion-Carrier Air Conditioning Company,,
GALLERIA,PAMPLONA, CHIRON GODEL,B,,MALE,8/1/1991,6/16/2018,CONDURA PROMODISER,CONDURA,PERMANENT,STATIONARY,"Concepcion Durables, Inc.",,
GALLERIA,GISON, REGIE,,,MALE,1/1/1997,5/16/2006,PRODUCT SPECIALIST,DEVANT,PERMANENT,STATIONARY,Finden Technologies Inc.,,
GALLERIA,ALONSO, ROLDAN,,,MALE,10/1/1999,11/30/2016,PRODUCT SPECIALIST,WHIRLPOOL,PERMANENT,MULTI BRAND,Whirlpool Corporation,,
GALLERIA,ALONSO, ROLDAN,,,MALE,3/1/2000,11/30/2016,PRODUCT SPECIALIST,FUJIDENZO,PERMANENT,MULTI BRAND,"Excellence Appliance Technologies, Inc",,
GALLERIA,AGUILAR, LEONE MAY,,,FEMALE,4/20/1992,2/28/2016,PRODUCT SPECIALIST,HAIER,PERMANENT,STATIONARY,Haier Group Corporation,,
GALLERIA,SEGADOR, PRECIOUS MAY,D,,FEMALE,4/5/1990,3/28/2022,PRODUCT SPECIALIST,HANABISHI,PERMANENT,STATIONARY,Fortune Buddies Corporation,,
GALLERIA,SERDEÑA, CHRISTIAN,,,MALE,8/1/1998,5/24/2023,PRODUCT SPECIALIST,KOLIN,PERMANENT,STATIONARY,Kolin Philippines International Inc.,,
GALLERIA,MAPA, MANUEL,,III,MALE,12/1/1994,7/26/2022,PRODUCT SPECIALIST,LG,PERMANENT,STATIONARY,Lucky Goldstar,,
GALLERIA,TOLENTINO, EUGENE,G,,MALE,10/2/1995,10/9/2023,PRODUCT CONSULTANT,MIDEA,PERMANENT,HYBRID,Concepcion Midea Inc. Philippines,,
GALLERIA,TOLENTINO, EUGENE,G,,MALE,6/1/2002,10/9/2023,PRODUCT CONSULTANT,TOSHIBA,PERMANENT,HYBRID,"Toshiba Global Commerce Solutions (Philippines), Inc.",,
GALLERIA,DE LOS SANTOS , ANN JHELYN,G,,FEMALE,7/20/1992,6/4/2025,PRODUCT SPECIALIST,G8 MARKETING,PERMANENT,STATIONARY,"G-8 Marketing, Inc.",,
GALLERIA,TRASPORTO, ROBERTO,,JR,MALE,1/1/1999,6/16/2020,PRODUCT SPECIALIST,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
GALLERIA,EULA , CARL BRIAN,,,MALE,7/15/1991,6/6/2024,AV PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
GALLERIA,PAEZ, CHRISTINE JOY,,,FEMALE,11/1/1997,5/22/2024,PRODUCT SPECIALIST,SHARP,PERMANENT,STATIONARY,Sharp Corporation,,
GALLERIA,SEBALLOS, DARRYL,,,MALE,12/1/1999,8/15/2006,SONY PROMOTER,SONY,PERMANENT,STATIONARY,Sony Group Corporation,,
GALLERIA,SABIDO  , JOHN PHILIP,,,MALE,3/18/2000,10/2/2024,PRODUCT SPECIALIST,TCL,PERMANENT,STATIONARY,TCL Sun Inc.,,
GALLERIA,DIZON, NADETH ROSE,,,FEMALE,4/22/1992,5/28/2020,PRODUCT SPECIALIST,UNION,PERMANENT,MULTI BRAND,Union Global Marketing Corp.,,
GALLERIA,DIZON, NADETH ROSE,,,FEMALE,8/5/1990,5/28/2020,PRODUCT SPECIALIST,PROMAC,PERMANENT,MULTI BRAND,"Maclin Electronics, Inc.",,
GALLERIA,TUGADO, MARK ANTHONY,,,MALE,8/13/1998,2/23/2024,ROVING Product Specialist,ASAHI,PERMANENT,STATIONARY,Asahi Electrical Manufacturing Corporation,,
GALLERIA,VILLARUEL, LOUIE JAMES,,,MALE,12/1/1990,9/5/2024,PRODUCT SPECIALIST ,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
GALLERIA,JUNGCO, JOHN LOVEL,,,MALE,10/2/1993,7/26/2024,PRODUCT SPECIALIST,HAFELE,PERMANENT,STATIONARY,"Häfele Philippines, Inc.",,
PLAZA,TOLENTINO, ANDREW,,,MALE,6/19/2002,10/6/2007,PRODUCT SPECIALIST,CONDURA,PERMANENT,STATIONARY,"Concepcion Durables, Inc.",,
PLAZA,SIOPAN, JOHN ROBERT,,,MALE,7/20/1996,1/5/2023,PRODUCT SPECIALIST,CARRIER,PERMANENT,STATIONARY,Concepcion-Carrier Air Conditioning Company,,
PLAZA,LAYON, RUDYARD FEBB ,,,MALE,5/1/1999,5/29/2024,PRODUCT SPECIALIST,DEVANT,PERMANENT,STATIONARY,Finden Technologies Inc.,,
PLAZA,SEGOVIA, REYMOND,C,,MALE,9/1/1991,10/12/2013,PRODUCT SPECIALIST,EVEREST,PERMANENT,STATIONARY,Trademaster Resources Corporation,,
PLAZA,DEPAMAYLO, DENMARK,,,MALE,3/1/1997,6/25/2019,PRODUCT SPECIALIST,HAIER,PERMANENT,STATIONARY,Haier Group Corporation,,
PLAZA,TOLENTINO, EUGENE,G,,MALE,6/1/2002,10/9/2023,PRODUCT CONSULTANT,TOSHIBA,PERMANENT,HYBRID,"Toshiba Global Commerce Solutions (Philippines), Inc.",,
PLAZA,CABUS, LAURENCE EMEL,,,MALE,10/8/1999,11/11/2023,PRODUCT SPECIALIST,HANABISHI,PERMANENT,STATIONARY,Fortune Buddies Corporation,,
PLAZA,ANAS, DARWIN,,,MALE,4/1/2000,1/17/2022,PRODUCT SPECIALIST,KOLIN,PERMANENT,STATIONARY,Kolin Philippines International Inc.,,
PLAZA,ESTARES , IVY ,,,FEMALE,4/25/1992,9/22/2022,PRODUCT SPECIALIST ,MITSUBISHI,PERMANENT,STATIONARY,Mitsubishi Corporation,,
PLAZA,PEREGRINO, JERY MAE,,,FEMALE,4/10/1990,9/1/2022,PRODUCT SPECIALIST,LA GERMANIA,PERMANENT,STATIONARY,"TW & Company, Inc.",,
PLAZA,PARREÑAS, LAURENCE JUNE,,,MALE,8/2/1998,3/2/2020,PRODUCT SPECIALIST,LG,PERMANENT,STATIONARY,Lucky Goldstar,,
PLAZA,ESTRELLANES, JUNE PAULO,,,MALE,12/12/1994,7/6/2023,PRODUCT CONSULTANT,MIDEA,PERMANENT,MULTI BRAND,Concepcion Midea Inc. Philippines,,
PLAZA,ESTRELLANES, JUNE PAULO,,,MALE,10/11/1995,7/6/2023,PRODUCT CONSULTANT,TOSHIBA,PERMANENT,MULTI BRAND,"Toshiba Global Commerce Solutions (Philippines), Inc.",,
PLAZA,DIÑO, KRISTOFFER,,,MALE,2/1/2002,8/6/2023,PRODUCT SPECIALIST,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
PLAZA,GENCIANEO, JOHN FELIX,,,MALE,2/20/1992,9/27/2021,PRODUCT SPECIALIST,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
PLAZA,TIRANTE, MA. CHRISTY JANE,,,FEMALE,4/1/1999,9/21/2023,DA PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
PLAZA,SOBEJANO, JERICK FLOYD,,,MALE,5/15/1991,12/16/2021,DA PRODUCT SPECIALIST,SHARP,PERMANENT,STATIONARY,Sharp Corporation,,
PLAZA,BALAYO, NOVIE JANE,,,FEMALE,11/29/1997,11/29/2023,DA PRODUCT SPECIALIST,SHARP,PERMANENT,STATIONARY,Sharp Corporation,,
PLAZA,SAMONTANES, JUN MARK,,,MALE,12/24/1999,7/28/2018,TV PRODUCT SPECIALIST,SKYWORTH,PERMANENT,STATIONARY,Skyworth (Philippines) Corporation,,
PLAZA,PACINO, RYAN,,,MALE,3/18/2004,11/2/2016,SONY PROMOTER,SONY,PERMANENT,STATIONARY,Sony Group Corporation,,
PLAZA,VERGARA, PETER JOHN PAUL,,,MALE,4/12/1992,11/16/2021,AV PRODUCT SPECIALIST,TCL,PERMANENT,STATIONARY,TCL Sun Inc.,,
PLAZA,PACHECO , KATHY JANE,,,FEMALE,8/5/1991,10/2/2023,AC PRODUCT SPECIALIST,TCL,PERMANENT,STATIONARY,TCL Sun Inc.,,
PLAZA,LOPEZ, JELINE MARY,,,FEMALE,7/15/1991,2/5/2024,PRODUCT SPECIALIST ,HAFELE,PERMANENT,MULTI BRANCH,"Häfele Philippines, Inc.",,
PLAZA,PO, AILENE,,,FEMALE,8/15/1998,6/1/2010,PRODUCT SPECIALIST,PROMAC,PERMANENT,MULTI BRAND,"Maclin Electronics, Inc.",,
PLAZA,PO, AILENE,,,FEMALE,10/1/1990,6/1/2010,PRODUCT SPECIALIST,UNION,PERMANENT,MULTI BRAND,Union Global Marketing Corp.,,
PLAZA,DOLOSO, MHITZ,,,FEMALE,10/21/1993,2/23/2024,PRODUCT SPECIALIST ,ASAHI,PERMANENT,STATIONARY,Asahi Electrical Manufacturing Corporation,,
SHOWROOM,GUARDAYA, RIZJOHN,P,,MALE,6/20/2002,10/14/2022,PRODUCT SPECIALIST,ASAHI,PERMANENT,STATIONARY,Asahi Electrical Manufacturing Corporation,,
SHOWROOM,DEMALATA, RONIEL,,,MALE,7/25/1996,3/6/2021,PRODUCT SPECIALIST,CAMEL,PERMANENT,STATIONARY,Camel Appliances Manufacturing Corporation,,
SHOWROOM,CHEN, JAMES CARLO,,,MALE,4/1/1999,4/29/2021,CARRIER  PROMODISER,CARRIER,PERMANENT,STATIONARY,Concepcion-Carrier Air Conditioning Company,,
SHOWROOM,CABUS JR., EDWIN,,,MALE,8/1/1991,9/16/2017,CARRIER PROMODISER,CARRIER,PERMANENT,STATIONARY,Concepcion-Carrier Air Conditioning Company,,
SHOWROOM,TAMORITE, RONBERT,,,MALE,1/1/1997,2/17/2016,CONDURA PROMODISER,CONDURA,PERMANENT,STATIONARY,"Concepcion Durables, Inc.",,
SHOWROOM,LADEMORA, CHRISTINE FAITH,,,FEMALE,10/1/1999,8/1/2022,CONDURA PROMODISER,CONDURA,PERMANENT,STATIONARY,"Concepcion Durables, Inc.",,
SHOWROOM,TAQUISO, ROMMEL,,,MALE,3/1/2000,7/31/2019,DEVANT PRODUCT SPECIALIST,DEVANT,PERMANENT,STATIONARY,Finden Technologies Inc.,,
SHOWROOM,PAGUNSAN, JE-ANN,,,FEMALE,4/20/1992,11/16/2020,HISENSE PRODUCT SPECIALIST,HISENSE,PERMANENT,STATIONARY,Finden Technologies Inc.,,
SHOWROOM,TAJO, UGEN,,,MALE,4/5/1990,11/8/2021,PRODUCT SPECIALIST,DEW FOAM,PERMANENT,STATIONARY,Dewfoam Corporation,,
SHOWROOM,SEDERIO, HANZEL BERT,,,MALE,8/1/1998,2/24/2020,PRODUCT SPECIALIST,EVEREST,PERMANENT,STATIONARY,Trademaster Resources Corporation,,
SHOWROOM,TANTERAS , STEPHEN,,,MALE,12/1/1994,2/17/2024,PRODUCT SPECIALIST,ASTRON,PERMANENT,STATIONARY,"G8 Marketing, Inc.",,
SHOWROOM,AMBAYAN, ARLENE,,,FEMALE,10/2/1995,1/16/2024,PRODUCT SPECIALIST,ASTRON,PERMANENT,STATIONARY,"G8 Marketing, Inc.",,
SHOWROOM,GARCIA, SHERA MAE,,,FEMALE,6/1/2002,8/1/2023,PRODUCT SPECIALIST,GE,PERMANENT,STATIONARY,"CYA Industries, Inc.",,
SHOWROOM,GARCIA, SHERA MAE,,,FEMALE,7/20/1992,8/1/2023,PRODUCT SPECIALIST,MABE,PERMANENT,STATIONARY,"CYA Industries, Inc.",,
SHOWROOM,BACONALE, ERNIE,,JR,MALE,1/1/1999,3/18/2024,PRODUCT SPECIALIST,HAFELE,PERMANENT,STATIONARY,"Häfele Philippines, Inc.",,
SHOWROOM,LOPEZ, JELINE MARY,,,FEMALE,7/15/1991,2/5/2024,PRODUCT SPECIALIST ,HAFELE,PERMANENT,MULTI BRANCH,"Häfele Philippines, Inc.",,
SHOWROOM,BLANDO, CHRISTIAN,,,MALE,11/1/1997,8/9/2019,PRODUCT SPECIALIST,HAIER,PERMANENT,STATIONARY,Haier Group Corporation,,
SHOWROOM,BONILLO, RESSIL,,,FEMALE,12/1/1999,7/1/2023,PRODCT SPECIALIST,HAIER,PERMANENT,STATIONARY,Haier Group Corporation,,
SHOWROOM,RICAFORTE, KARL,,,MALE,3/18/2000,11/25/2020,PRODUCT SPECIALIST,HAIER,PERMANENT,STATIONARY,Haier Group Corporation,,
SHOWROOM,COCHUELA , VANESSA CHRISTELLE ,,,FEMALE,4/22/1992,3/28/2025,PRODUCT SPECIALIST,KOLIN,PERMANENT,STATIONARY,Kolin Philippines International Inc.,,
SHOWROOM,QUEBRAL, JULIUS,,,MALE,8/5/1990,2/27/2019,PRODUCT SPECIALIST,KOLIN,PERMANENT,STATIONARY,Kolin Philippines International Inc.,,
SHOWROOM,BRIOLA , JOHN MARK ,,,MALE,8/13/1998,2/24/2025,PRODUCT SPECIALIST ,KOLIN,PERMANENT,STATIONARY,Kolin Philippines International Inc.,,
SHOWROOM,BALLENTOS, AURELIA,,,FEMALE,12/1/1990,4/16/2000,PRODUCT SPECIALIST,LA GERMANIA,PERMANENT,STATIONARY,"TW & Company, Inc.",,
SHOWROOM,LACHICA, AIVAN,M,,MALE,10/2/1993,9/12/2023,PRODUCT SPECIALIST,LA GERMANIA,PERMANENT,STATIONARY,"TW & Company, Inc.",,
SHOWROOM,PARANPAN, MISHAEL,,,FEMALE,6/19/2002,7/8/2019,PRODUCT SPECIALIST,LG,PERMANENT,STATIONARY,Lucky Goldstar,,
SHOWROOM,GREGORI, MA. LOURDES,,,FEMALE,7/20/1996,10/16/2020,PRODUCT SPECIALIST,LG,PERMANENT,STATIONARY,Lucky Goldstar,,
SHOWROOM,PARCON, EXER,,,MALE,5/1/1999,11/2/2021,PRODUCT SPECIALIST,LG,PERMANENT,STATIONARY,Lucky Goldstar,,
SHOWROOM,BOQUETE, WINNE,,,MALE,9/1/1991,8/1/2022,PRODUCT SPECIALIST,LG,PERMANENT,MULTI BRAND,Lucky Goldstar,,
SHOWROOM,FABRIGAR, REYMAR,,,MALE,10/8/1999,3/21/2016,MIDEA PRODUCT CONSULTANT,MIDEA,PERMANENT,STATIONARY,Concepcion Midea Inc. Philippines,,
SHOWROOM,BELLO, MACKINLEY,,,MALE,4/1/2000,5/8/2021,TOSHIBA PRODUCT CONSULTANT,TOSHIBA,PERMANENT,STATIONARY,"Toshiba Global Commerce Solutions (Philippines), Inc.",,
SHOWROOM,PERLADO, FRANCIS ANN,,,FEMALE,4/25/1992,11/30/2024,PRODUCT SPECIALIST,TOSHIBA,PERMANENT,STATIONARY,"Toshiba Global Commerce Solutions (Philippines), Inc.",,
SHOWROOM,BENDOL, ZANDY,,,MALE,4/10/1990,8/11/2014,PRODUCT SPECIALIST,MANDAUE FOAM,PERMANENT,STATIONARY,"Mandaue Foam Industries, Inc.",,
SHOWROOM,ELIZALDE, CLOUDY,,,MALE,8/2/1998,9/8/2015,PRODUCT SPECIALIST,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
SHOWROOM,DEL ROSARIO, EVZENT JECENT,,,MALE,12/12/1994,9/8/2016,PRODUCT SPECIALIST,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
SHOWROOM,GEANGA, MARIBELLE,,,FEMALE,10/11/1995,12/16/2024,PRODUCT SPECIALIST,PANASONIC,PERMANENT,STATIONARY,"Matsushita Electric Industrial Co., Ltd.",,
SHOWROOM,DAMASCO, MICHAEL ANTHONY,,,MALE,2/1/2002,9/5/2020,DA PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
SHOWROOM,BANZUELO, NELLYMAR,,,FEMALE,2/20/1992,2/1/2021,RAC PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
SHOWROOM,SORONGON, CYRUS,,,MALE,4/1/1999,11/4/2019,AV PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
SHOWROOM,JABON, JOSHUA,,,MALE,5/15/1991,6/1/2023,PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
SHOWROOM,RAFOLS, PETER PAUL,,,MALE,11/29/1997,5/16/2024,AV PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
SHOWROOM,DOGOMEO, GWYNETH,,,FEMALE,12/24/1999,3/8/2021,PRODUCT SPECIALIST ,SANDEN,PERMANENT,STATIONARY,Sanden International Philippines Inc.,,
SHOWROOM,CARIAGA, NIKKO ,,,MALE,3/18/2004,7/22/2024,DA PRODUCT SPECIALIST,SHARP,PERMANENT,STATIONARY,Sharp Corporation,,
SHOWROOM,PALAPAS , RJ CHRISTOPHER ,,,MALE,4/12/1992,2/27/2025,PRODUCT SPECIALIST,SHARP,PERMANENT,STATIONARY,Sharp Corporation,,
SHOWROOM,BALDEVIA , APRIL MAE ,,,FEMALE,8/5/1991,5/9/2025,PRODUCT SPECIALIST,SHARP,PERMANENT,STATIONARY,Sharp Corporation,,
SHOWROOM,PARREÑO, RICHARD,,,MALE,8/15/1998,7/29/2015,TV PRODUCT SPECIALIST,SKYWORTH,PERMANENT,STATIONARY,Skyworth (Philippines) Corporation,,
SHOWROOM,MORADAS, ROMMEL,,,MALE,10/1/1990,9/24/2020,SONY PROMOTER,SONY,PERMANENT,STATIONARY,Sony Group Corporation,,
SHOWROOM,VALDEVIESO, AMERICO,,,MALE,10/21/1993,3/2/2019,SONY PROMOTER,SONY,PERMANENT,STATIONARY,Sony Group Corporation,,
SHOWROOM,ANG, STEPHEN MELVIN,,,MALE,6/20/2002,9/6/2021,WM PRODUCT SPECIALIST,TCL,PERMANENT,STATIONARY,TCL Sun Inc.,,
SHOWROOM,LISAO, JASON,,,MALE,7/25/1996,5/13/2024,AV PRODUCT SPECIALIST,TCL,PERMANENT,STATIONARY,TCL Sun Inc.,,
SHOWROOM,CHIVA, RAISGA MAE,,,FEMALE,7/26/1996,12/12/2023,AV PRODUCT SPECIALIST,TCL,PERMANENT,STATIONARY,TCL Sun Inc.,,
SHOWROOM,PATERNO, EDIBERT JOHN,,,MALE,7/27/1996,8/1/2022,AC PRODUCT SPECIALIST,TECHNOGAS,PERMANENT,STATIONARY,"Appstar Global Distributors, Inc.",,
SHOWROOM,DRILON, KURT ARBERT,,,MALE,7/28/1996,6/16/2022,PRODUCT SPECIALIST,UNION,PERMANENT,MULTI BRAND,Union Global Marketing Corp.,,
SHOWROOM,DRILON, KURT ARBERT,,,MALE,7/29/1996,6/16/2022,PRODUCT SPECIALIST,PROMAC,PERMANENT,MULTI BRAND,"Maclin Electronics, Inc.",,
SHOWROOM,PONSARAN, FULJEAN,,,FEMALE,7/30/1996,12/1/2021,PRODUCT SPECIALIST,UNION,PERMANENT,STATIONARY,Union Global Marketing Corp.,,
SHOWROOM,LASTIMOSO, RITCHELLE ,,,FEMALE,7/31/1995,1/13/2025,PRODUCT SPECIALIST,URATEX,PERMANENT,STATIONARY,RGC Group of Companies,,
SHOWROOM,LOZADA, CARL JOHN,,,MALE,8/1/1994,4/2/2019,PRODUCT SPECIALIST,WHIRLPOOL,PERMANENT,MULTI BRAND,Whirlpool Corporation,,
SHOWROOM,LOZADA, CARL JOHN,,,MALE,8/2/1996,4/2/2019,PRODUCT SPECIALIST,FUJIDENZO,PERMANENT,MULTI BRAND,"Excellence Appliance Technologies, Inc",,
SHOWROOM,GONZALES, ELVIN ACE,S,,MALE,8/3/1996,3/17/2023,PRODUCT SPECIALIST,WHIRLPOOL,PERMANENT,MULTI BRAND,Whirlpool Corporation,,
SHOWROOM,GONZALES, ELVIN ACE,S,,MALE,8/4/1998,3/17/2023,PRODUCT SPECIALIST,FUJIDENZO,PERMANENT,MULTI BRAND,"Excellence Appliance Technologies, Inc",,
SHOWROOM,JAVA, VIRGIL,,,MALE,8/5/1996,2/19/2018,PRODUCT SPECIALIST,SAMSUNG,PERMANENT,STATIONARY,"Samsung Electronics Co., Ltd.",,
SHOWROOM,BACLAY , ANTHONY ,,,MALE,10/1/2000,10/2/2024,MOBILE PRODUCT SPECIALIST ,SKYWORTH,PERMANENT,STATIONARY,Skyworth (Philippines) Corporation,,
SHOWROOM,GULLO, CHRISTIAN ,,,MALE,10/2/2000,7/3/2025,PRODUCT SPECIALIST,VIVO,RELIEVER,STATIONARY,"Vivo Mobile Communication Co., Ltd.",6/15/2026,7/15/2026
SHOWROOM,MIRANDE , JAIME ,,,MALE,10/3/2000,5/2/2025,PRODUCT SPECIALIST ,ASAHI,PERMANENT,STATIONARY,Asahi Electrical Manufacturing Corporation,,
SHOWROOM,LANZADERAS , JESSEY ,,,FEMALE,10/4/2000,4/21/2025,MOBILE PRODUCT SPECIALIST ,CARRIER,PERMANENT,STATIONARY,Concepcion-Carrier Air Conditioning Company,,
SHOWROOM,PANCHO , ROGINE ,,,MALE,10/5/2000,9/11/2024,MOBILE PRODUCT SPECIALIST ,CONDURA,PERMANENT,STATIONARY,"Concepcion Durables, Inc.",,
SHOWROOM,MACALALAG , IVY GRACE ,,,FEMALE,10/6/2000,2/20/2024,MOBILE PRODUCT SPECIALIST ,DEVANT,PERMANENT,STATIONARY,Finden Technologies Inc.,,
SHOWROOM,LAYSON , AIKA ,,,FEMALE,10/7/2000,2/14/2019,MOBILE PRODUCT SPECIALIST ,FUJIDENZO,PERMANENT,STATIONARY,"Excellence Appliance Technologies, Inc",,
VIAC,TUGADO, MARK ANTHONY,,,MALE,10/8/2000,2/18/2023,ROVING PRODUCT SPECIALIST,HAIER,PERMANENT,STATIONARY,Haier Group Corporation,,
VIAC,FLORES, JULIUS,,,MALE,4/9/2000,11/3/2022,CARRIER  PROMODISER,HANABISHI,PERMANENT,STATIONARY,Fortune Buddies Corporation,,
VIAC,ALCEDO, RONILO,,JR,MALE,10/10/2000,10/1/2021,CONDURA PROMODISER,KOLIN,PERMANENT,STATIONARY,Kolin Philippines International Inc.,,
VIAC,OSOMO, EM,H,,FEMALE,2/11/2000,10/23/2021,PRODUCT SPECIALIST,LG,PERMANENT,STATIONARY,Lucky Goldstar,,
VIAC,TOLENTINO, FRANKLIN,F,,MALE,10/12/2000,6/2/2023,PRODUCT SPECIALIST,MIDEA,PERMANENT,MULTI BRAND,Concepcion Midea Inc. Philippines,,
